index	Tokenized Problem Sentence	Tokenized Fixed Sentence	Problem Sentence	Fixed Sentence
360.0	bu ##lim ##ia is not a choice , but a complex disorder that requires professional help and support .	bu ##lim ##ia is not a choice , but a complex disorder that requires professional help and support .	Bulimia is not a choice, but a complex disorder that requires professional help and support.	Bulimia is not a choice, but a complex disorder that requires professional help and support.
361.0	treatment for bu ##lim ##ia should address not only the physical aspect of the disorder , but also the emotional and psychological factors that contribute to it .	treatment for bu ##lim ##ia should address not only the physical aspect of the disorder , but also the emotional and psychological factors that contribute to it .	Treatment for bulimia should address not only the physical aspect of the disorder, but also the emotional and psychological factors that contribute to it.	Treatment for bulimia should address not only the physical aspect of the disorder, but also the emotional and psychological factors that contribute to it.
362.0	support groups , such as over ##ea ##ters anonymous , can provide a community of peers who understand the challenges of recovery and provide support .	support groups , such as over ##ea ##ters anonymous , can provide a community of peers who understand the challenges of recovery and provide support .	Support groups, such as Overeaters Anonymous, can provide a community of peers who understand the challenges of recovery and provide support.	Support groups, such as Overeaters Anonymous, can provide a community of peers who understand the challenges of recovery and provide support.
363.0	bu ##lim ##ia can be a difficult and iso ##lating experience , but with the right help and support , recovery is possible .	bu ##lim ##ia can be a difficult and iso ##lating experience , but with the right help and support , recovery is possible .	Bulimia can be a difficult and isolating experience, but with the right help and support, recovery is possible.	Bulimia can be a difficult and isolating experience, but with the right help and support, recovery is possible.
364.0	it is important for people with bu ##lim ##ia to take an active role in their recovery , seeking help and participating in treatment .	it is important for people with bu ##lim ##ia to take an active role in their recovery , seeking help and participating in treatment .	It is important for people with bulimia to take an active role in their recovery, seeking help and participating in treatment.	It is important for people with bulimia to take an active role in their recovery, seeking help and participating in treatment.
365.0	early intervention and treatment can prevent the es ##cala ##tion of bu ##lim ##ia - related problems and improve the chances of successful recovery .	early intervention and treatment can prevent the es ##cala ##tion of bu ##lim ##ia - related problems and improve the chances of successful recovery .	Early intervention and treatment can prevent the escalation of bulimia-related problems and improve the chances of successful recovery.	Early intervention and treatment can prevent the escalation of bulimia-related problems and improve the chances of successful recovery.
366.0	individuals with bu ##lim ##ia should be encouraged to seek help and to find a support system that works for them .	individuals with bu ##lim ##ia should be encouraged to seek help and to find a support system that works for them .	Individuals with bulimia should be encouraged to seek help and to find a support system that works for them.	Individuals with bulimia should be encouraged to seek help and to find a support system that works for them.
367.0	the development of healthy coping mechanisms and self - care practices can be essential in the recovery process from bu ##lim ##ia .	the development of healthy coping mechanisms and self - care practices can be essential in the recovery process from bu ##lim ##ia .	The development of healthy coping mechanisms and self-care practices can be essential in the recovery process from bulimia.	The development of healthy coping mechanisms and self-care practices can be essential in the recovery process from bulimia.
368.0	depression is a common mental health condition characterized by persistent feelings of sadness , hopeless ##ness , and a loss of interest in activities .	depression is a common mental health condition characterized by persistent feelings of sadness , hopeless ##ness , and a loss of interest in activities .	Depression is a common mental health condition characterized by persistent feelings of sadness, hopelessness, and a loss of interest in activities.	Depression is a common mental health condition characterized by persistent feelings of sadness, hopelessness, and a loss of interest in activities.
369.0	depression can affect people of all ages , gender ##s , and cultural backgrounds .	depression can affect people of all ages , gender ##s , and cultural backgrounds .	Depression can affect people of all ages, genders, and cultural backgrounds.	Depression can affect people of all ages, genders, and cultural backgrounds.
370.0	depression can have a significant impact on daily life , including work , relationships , and physical health .	depression can have a significant impact on daily life , including work , relationships , and physical health .	Depression can have a significant impact on daily life, including work, relationships, and physical health.	Depression can have a significant impact on daily life, including work, relationships, and physical health.
371.0	the causes of depression are complex and can include a combination of genetic , environmental , and psychological factors .	the causes of depression are complex and can include a combination of genetic , environmental , and psychological factors .	The causes of depression are complex and can include a combination of genetic, environmental, and psychological factors.	The causes of depression are complex and can include a combination of genetic, environmental, and psychological factors.
372.0	depression can be treated with a variety of approaches , including therapy , medication , and lifestyle changes .	depression can be treated with a variety of approaches , including therapy , medication , and lifestyle changes .	Depression can be treated with a variety of approaches, including therapy, medication, and lifestyle changes.	Depression can be treated with a variety of approaches, including therapy, medication, and lifestyle changes.
373.0	early recognition and treatment of depression can lead to improved outcomes and a higher likelihood of recovery .	early recognition and treatment of depression can lead to improved outcomes and a higher likelihood of recovery .	Early recognition and treatment of depression can lead to improved outcomes and a higher likelihood of recovery.	Early recognition and treatment of depression can lead to improved outcomes and a higher likelihood of recovery.
374.0	symptoms of depression can vary from person to person , but may include persistent feelings of sadness , decreased energy , and a loss of interest in activities .	symptoms of depression can vary from person to person , but may include persistent feelings of sadness , decreased energy , and a loss of interest in activities .	Symptoms of depression can vary from person to person, but may include persistent feelings of sadness, decreased energy, and a loss of interest in activities.	Symptoms of depression can vary from person to person, but may include persistent feelings of sadness, decreased energy, and a loss of interest in activities.
375.0	depression can also be associated with physical symptoms such as changes in appetite and sleep patterns .	depression can also be associated with physical symptoms such as changes in appetite and sleep patterns .	Depression can also be associated with physical symptoms such as changes in appetite and sleep patterns.	Depression can also be associated with physical symptoms such as changes in appetite and sleep patterns.
376.0	it is important for individuals with depression to seek help from a mental health professional .	it is important for individuals with depression to seek help from a mental health professional .	It is important for individuals with depression to seek help from a mental health professional.	It is important for individuals with depression to seek help from a mental health professional.
377.0	a combination of therapy , medication , and self - care strategies can be effective in managing the symptoms of depression .	a combination of therapy , medication , and self - care strategies can be effective in managing the symptoms of depression .	A combination of therapy, medication, and self-care strategies can be effective in managing the symptoms of depression.	A combination of therapy, medication, and self-care strategies can be effective in managing the symptoms of depression.
378.0	family and social support can play a crucial role in the recovery process for individuals with depression .	family and social support can play a crucial role in the recovery process for individuals with depression .	Family and social support can play a crucial role in the recovery process for individuals with depression.	Family and social support can play a crucial role in the recovery process for individuals with depression.
379.0	depression can sometimes co - occur with other mental health conditions , such as anxiety and bipolar disorder .	depression can sometimes co - occur with other mental health conditions , such as anxiety and bipolar disorder .	Depression can sometimes co-occur with other mental health conditions, such as anxiety and bipolar disorder.	Depression can sometimes co-occur with other mental health conditions, such as anxiety and bipolar disorder.
380.0	anti ##de ##press ##ant medication can be a helpful tool in the treatment of depression , but should be prescribed and monitored by a mental health professional .	anti ##de ##press ##ant medication can be a helpful tool in the treatment of depression , but should be prescribed and monitored by a mental health professional .	Antidepressant medication can be a helpful tool in the treatment of depression, but should be prescribed and monitored by a mental health professional.	Antidepressant medication can be a helpful tool in the treatment of depression, but should be prescribed and monitored by a mental health professional.
381.0	different forms of therapy , such as cognitive - behavioral therapy and inter ##personal therapy , can be effective in treating depression .	different forms of therapy , such as cognitive - behavioral therapy and inter ##personal therapy , can be effective in treating depression .	Different forms of therapy, such as cognitive-behavioral therapy and interpersonal therapy, can be effective in treating depression.	Different forms of therapy, such as cognitive-behavioral therapy and interpersonal therapy, can be effective in treating depression.
382.0	depression can be a chronic condition , with some individuals experiencing multiple episodes of illness throughout their lifetime .	depression can be a chronic condition , with some individuals experiencing multiple episodes of illness throughout their lifetime .	Depression can be a chronic condition, with some individuals experiencing multiple episodes of illness throughout their lifetime.	Depression can be a chronic condition, with some individuals experiencing multiple episodes of illness throughout their lifetime.
383.0	it is important to approach depression with compassion and understanding , as it is not a choice or a sign of weakness .	it is important to approach depression with compassion and understanding , as it is not a choice or a sign of weakness .	It is important to approach depression with compassion and understanding, as it is not a choice or a sign of weakness.	It is important to approach depression with compassion and understanding, as it is not a choice or a sign of weakness.
384.0	support from loved ones and mental health professionals can be essential in overcoming depression .	support from loved ones and mental health professionals can be essential in overcoming depression .	Support from loved ones and mental health professionals can be essential in overcoming depression.	Support from loved ones and mental health professionals can be essential in overcoming depression.
385.0	depression should be taken seriously and treated as a legitimate medical condition .	depression should be taken seriously and treated as a legitimate medical condition .	Depression should be taken seriously and treated as a legitimate medical condition.	Depression should be taken seriously and treated as a legitimate medical condition.
386.0	stigma surrounding mental health and depression can prevent individuals from seeking help and receiving the support they need .	stigma surrounding mental health and depression can prevent individuals from seeking help and receiving the support they need .	Stigma surrounding mental health and depression can prevent individuals from seeking help and receiving the support they need.	Stigma surrounding mental health and depression can prevent individuals from seeking help and receiving the support they need.
387.0	depression can impact an individual ' s ability to perform daily tasks , including work and school .	depression can impact an individual ' s ability to perform daily tasks , including work and school .	Depression can impact an individual's ability to perform daily tasks, including work and school.	Depression can impact an individual's ability to perform daily tasks, including work and school.
388.0	exercise , mind ##fulness , and other self - care practices can be beneficial in managing the symptoms of depression .	exercise , mind ##fulness , and other self - care practices can be beneficial in managing the symptoms of depression .	Exercise, mindfulness, and other self-care practices can be beneficial in managing the symptoms of depression.	Exercise, mindfulness, and other self-care practices can be beneficial in managing the symptoms of depression.
389.0	depression can have a significant impact on relationships , but with support and communication , these relationships can be strengthened .	depression can have a significant impact on relationships , but with support and communication , these relationships can be strengthened .	Depression can have a significant impact on relationships, but with support and communication, these relationships can be strengthened.	Depression can have a significant impact on relationships, but with support and communication, these relationships can be strengthened.
390.0	mental health should be treated as a priority and receiving help for depression should be encouraged and supported .	mental health should be treated as a priority and receiving help for depression should be encouraged and supported .	Mental health should be treated as a priority and receiving help for depression should be encouraged and supported.	Mental health should be treated as a priority and receiving help for depression should be encouraged and supported.
391.0	depression can have long - term consequences , including decreased quality of life and decreased lifespan , if left un ##tre ##ated .	depression can have long - term consequences , including decreased quality of life and decreased lifespan , if left un ##tre ##ated .	Depression can have long-term consequences, including decreased quality of life and decreased lifespan, if left untreated.	Depression can have long-term consequences, including decreased quality of life and decreased lifespan, if left untreated.
392.0	depression can be a de ##bil ##itating condition , but with proper treatment and support , recovery is possible .	depression can be a de ##bil ##itating condition , but with proper treatment and support , recovery is possible .	Depression can be a debilitating condition, but with proper treatment and support, recovery is possible.	Depression can be a debilitating condition, but with proper treatment and support, recovery is possible.
393.0	access to mental health services , including therapy and medication , should be affordable and accessible to everyone .	access to mental health services , including therapy and medication , should be affordable and accessible to everyone .	Access to mental health services, including therapy and medication, should be affordable and accessible to everyone.	Access to mental health services, including therapy and medication, should be affordable and accessible to everyone.
394.0	mental health professionals should approach each case of depression with a ho ##listic and individual ##ized approach .	mental health professionals should approach each case of depression with a ho ##listic and individual ##ized approach .	Mental health professionals should approach each case of depression with a holistic and individualized approach.	Mental health professionals should approach each case of depression with a holistic and individualized approach.
395.0	the symptoms of depression can be mistaken for normal sadness , but it is important to seek help if these symptoms persist .	the symptoms of depression can be mistaken for normal sadness , but it is important to seek help if these symptoms persist .	The symptoms of depression can be mistaken for normal sadness, but it is important to seek help if these symptoms persist.	The symptoms of depression can be mistaken for normal sadness, but it is important to seek help if these symptoms persist.
396.0	it is important to educate the public on depression and reduce the stigma surrounding mental health .	it is important to educate the public on depression and reduce the stigma surrounding mental health .	It is important to educate the public on depression and reduce the stigma surrounding mental health.	It is important to educate the public on depression and reduce the stigma surrounding mental health.
397.0	depression can be a life - altering condition , but with the right support and resources , individuals can lead fulfilling lives .	depression can be a life - altering condition , but with the right support and resources , individuals can lead fulfilling lives .	Depression can be a life-altering condition, but with the right support and resources, individuals can lead fulfilling lives.	Depression can be a life-altering condition, but with the right support and resources, individuals can lead fulfilling lives.
398.0	it is important to recognize that depression is a treat ##able condition and seeking help is a sign of strength .	it is important to recognize that depression is a treat ##able condition and seeking help is a sign of strength .	It is important to recognize that depression is a treatable condition and seeking help is a sign of strength.	It is important to recognize that depression is a treatable condition and seeking help is a sign of strength.
399.0	depression can impact an individual ' s ability to enjoy life , but with proper treatment , individuals can reclaim their enjoyment of activities and experiences .	depression can impact an individual ' s ability to enjoy life , but with proper treatment , individuals can reclaim their enjoyment of activities and experiences .	Depression can impact an individual's ability to enjoy life, but with proper treatment, individuals can reclaim their enjoyment of activities and experiences.	Depression can impact an individual's ability to enjoy life, but with proper treatment, individuals can reclaim their enjoyment of activities and experiences.
400.0	seeking help for depression should not be seen as a failure , but rather as a step towards recovery and improved well - being .	seeking help for depression should not be seen as a failure , but rather as a step towards recovery and improved well - being .	Seeking help for depression should not be seen as a failure, but rather as a step towards recovery and improved well-being.	Seeking help for depression should not be seen as a failure, but rather as a step towards recovery and improved well-being.
401.0	drug addiction is a complex and chronic condition characterized by com ##pu ##ls ##ive drug seeking and use .	drug addiction is a complex and chronic condition characterized by com ##pu ##ls ##ive drug seeking and use .	Drug addiction is a complex and chronic condition characterized by compulsive drug seeking and use.	Drug addiction is a complex and chronic condition characterized by compulsive drug seeking and use.
402.0	substance abuse and addiction can have a devastating impact on the individual , as well as their family and friends .	substance abuse and addiction can have a devastating impact on the individual , as well as their family and friends .	Substance abuse and addiction can have a devastating impact on the individual, as well as their family and friends.	Substance abuse and addiction can have a devastating impact on the individual, as well as their family and friends.
403.0	the causes of drug addiction are varied and can include genetic , environmental , and psychological factors .	the causes of drug addiction are varied and can include genetic , environmental , and psychological factors .	The causes of drug addiction are varied and can include genetic, environmental, and psychological factors.	The causes of drug addiction are varied and can include genetic, environmental, and psychological factors.
404.0	drug addiction can lead to a range of negative consequences , including health problems , financial difficulties , and relationship issues .	drug addiction can lead to a range of negative consequences , including health problems , financial difficulties , and relationship issues .	Drug addiction can lead to a range of negative consequences, including health problems, financial difficulties, and relationship issues.	Drug addiction can lead to a range of negative consequences, including health problems, financial difficulties, and relationship issues.
405.0	early intervention and treatment can be crucial in helping individuals overcome drug addiction and regain control of their lives .	early intervention and treatment can be crucial in helping individuals overcome drug addiction and regain control of their lives .	Early intervention and treatment can be crucial in helping individuals overcome drug addiction and regain control of their lives.	Early intervention and treatment can be crucial in helping individuals overcome drug addiction and regain control of their lives.
406.0	drug addiction is a treat ##able condition , and a variety of approaches can be effective in helping individuals recover , including therapy and medication .	drug addiction is a treat ##able condition , and a variety of approaches can be effective in helping individuals recover , including therapy and medication .	Drug addiction is a treatable condition, and a variety of approaches can be effective in helping individuals recover, including therapy and medication.	Drug addiction is a treatable condition, and a variety of approaches can be effective in helping individuals recover, including therapy and medication.
407.0	cognitive - behavioral therapy and con ##ting ##ency management are commonly used approaches in the treatment of drug addiction .	cognitive - behavioral therapy and con ##ting ##ency management are commonly used approaches in the treatment of drug addiction .	Cognitive-behavioral therapy and contingency management are commonly used approaches in the treatment of drug addiction.	Cognitive-behavioral therapy and contingency management are commonly used approaches in the treatment of drug addiction.
408.0	medications such as met ##had ##one and bu ##pre ##nor ##phine can be effective in reducing craving ##s and managing withdrawal symptoms during addiction treatment .	medications such as met ##had ##one and bu ##pre ##nor ##phine can be effective in reducing craving ##s and managing withdrawal symptoms during addiction treatment .	Medications such as methadone and buprenorphine can be effective in reducing cravings and managing withdrawal symptoms during addiction treatment.	Medications such as methadone and buprenorphine can be effective in reducing cravings and managing withdrawal symptoms during addiction treatment.
409.0	family support can play a critical role in the recovery process for individuals with drug addiction .	family support can play a critical role in the recovery process for individuals with drug addiction .	Family support can play a critical role in the recovery process for individuals with drug addiction.	Family support can play a critical role in the recovery process for individuals with drug addiction.
410.0	overcoming drug addiction often requires a combination of professional treatment and self - care strategies , such as exercise and healthy eating habits .	overcoming drug addiction often requires a combination of professional treatment and self - care strategies , such as exercise and healthy eating habits .	Overcoming drug addiction often requires a combination of professional treatment and self-care strategies, such as exercise and healthy eating habits.	Overcoming drug addiction often requires a combination of professional treatment and self-care strategies, such as exercise and healthy eating habits.
411.0	re ##la ##pse is a common part of the recovery process for individuals with drug addiction and should not be viewed as a failure .	re ##la ##pse is a common part of the recovery process for individuals with drug addiction and should not be viewed as a failure .	Relapse is a common part of the recovery process for individuals with drug addiction and should not be viewed as a failure.	Relapse is a common part of the recovery process for individuals with drug addiction and should not be viewed as a failure.
412.0	long - term sob ##riety from drugs requires ongoing effort and support from mental health professionals and loved ones .	long - term sob ##riety from drugs requires ongoing effort and support from mental health professionals and loved ones .	Long-term sobriety from drugs requires ongoing effort and support from mental health professionals and loved ones.	Long-term sobriety from drugs requires ongoing effort and support from mental health professionals and loved ones.
413.0	it is important to address any underlying mental health conditions , such as depression and anxiety , in the treatment of drug addiction .	it is important to address any underlying mental health conditions , such as depression and anxiety , in the treatment of drug addiction .	It is important to address any underlying mental health conditions, such as depression and anxiety, in the treatment of drug addiction.	It is important to address any underlying mental health conditions, such as depression and anxiety, in the treatment of drug addiction.
414.0	drug addiction can have a significant impact on an individual ' s physical and mental health , including increased risk for chronic health problems and increased su ##sc ##ept ##ibility to mental health conditions .	drug addiction can have a significant impact on an individual ' s physical and mental health , including increased risk for chronic health problems and increased su ##sc ##ept ##ibility to mental health conditions .	Drug addiction can have a significant impact on an individual's physical and mental health, including increased risk for chronic health problems and increased susceptibility to mental health conditions.	Drug addiction can have a significant impact on an individual's physical and mental health, including increased risk for chronic health problems and increased susceptibility to mental health conditions.
415.0	the cost of addiction , both financial and personal , can be substantial and long - lasting .	the cost of addiction , both financial and personal , can be substantial and long - lasting .	The cost of addiction, both financial and personal, can be substantial and long-lasting.	The cost of addiction, both financial and personal, can be substantial and long-lasting.
416.0	addiction is a disease of the brain , and should be treated with the same compassion and understanding as any other medical condition .	addiction is a disease of the brain , and should be treated with the same compassion and understanding as any other medical condition .	Addiction is a disease of the brain, and should be treated with the same compassion and understanding as any other medical condition.	Addiction is a disease of the brain, and should be treated with the same compassion and understanding as any other medical condition.
417.0	substance abuse and addiction can be particularly harmful for young people and can have long - lasting consequences on their development and future prospects .	substance abuse and addiction can be particularly harmful for young people and can have long - lasting consequences on their development and future prospects .	Substance abuse and addiction can be particularly harmful for young people and can have long-lasting consequences on their development and future prospects.	Substance abuse and addiction can be particularly harmful for young people and can have long-lasting consequences on their development and future prospects.
418.0	substance abuse and addiction can be prevented through education , early intervention , and addressing risk factors such as trauma and poverty .	substance abuse and addiction can be prevented through education , early intervention , and addressing risk factors such as trauma and poverty .	Substance abuse and addiction can be prevented through education, early intervention, and addressing risk factors such as trauma and poverty.	Substance abuse and addiction can be prevented through education, early intervention, and addressing risk factors such as trauma and poverty.
419.0	drug addiction can lead to criminal behavior and involvement with the criminal justice system .	drug addiction can lead to criminal behavior and involvement with the criminal justice system .	Drug addiction can lead to criminal behavior and involvement with the criminal justice system.	Drug addiction can lead to criminal behavior and involvement with the criminal justice system.
420.0	the criminal ##ization of drug addiction can ex ##ace ##rba ##te the problem , rather than addressing its root causes .	the criminal ##ization of drug addiction can ex ##ace ##rba ##te the problem , rather than addressing its root causes .	The criminalization of drug addiction can exacerbate the problem, rather than addressing its root causes.	The criminalization of drug addiction can exacerbate the problem, rather than addressing its root causes.
421.0	the op ##io ##id epidemic highlights the need for increased access to addiction treatment and harm reduction strategies , such as sy ##ring ##e access programs .	the op ##io ##id epidemic highlights the need for increased access to addiction treatment and harm reduction strategies , such as sy ##ring ##e access programs .	The opioid epidemic highlights the need for increased access to addiction treatment and harm reduction strategies, such as syringe access programs.	The opioid epidemic highlights the need for increased access to addiction treatment and harm reduction strategies, such as syringe access programs.
422.0	substance abuse and addiction can have a ripple effect , impact ##ing not only the individual , but also their families , communities , and society as a whole .	substance abuse and addiction can have a ripple effect , impact ##ing not only the individual , but also their families , communities , and society as a whole .	Substance abuse and addiction can have a ripple effect, impacting not only the individual, but also their families, communities, and society as a whole.	Substance abuse and addiction can have a ripple effect, impacting not only the individual, but also their families, communities, and society as a whole.
423.0	the impact of drug addiction can vary by race , ethnicity , and socio ##economic status , and it is important to address these di ##spar ##ities in access to treatment .	the impact of drug addiction can vary by race , ethnicity , and socio ##economic status , and it is important to address these di ##spar ##ities in access to treatment .	The impact of drug addiction can vary by race, ethnicity, and socioeconomic status, and it is important to address these disparities in access to treatment.	The impact of drug addiction can vary by race, ethnicity, and socioeconomic status, and it is important to address these disparities in access to treatment.
424.0	drug addiction is often stigma ##tized and misunderstood , and it is important to educate the public on its causes and treatments .	drug addiction is often stigma ##tized and misunderstood , and it is important to educate the public on its causes and treatments .	Drug addiction is often stigmatized and misunderstood, and it is important to educate the public on its causes and treatments.	Drug addiction is often stigmatized and misunderstood, and it is important to educate the public on its causes and treatments.
425.0	substance abuse and addiction can be particularly challenging for older adults , and specialized treatment programs may be necessary to address their unique needs .	substance abuse and addiction can be particularly challenging for older adults , and specialized treatment programs may be necessary to address their unique needs .	Substance abuse and addiction can be particularly challenging for older adults, and specialized treatment programs may be necessary to address their unique needs.	Substance abuse and addiction can be particularly challenging for older adults, and specialized treatment programs may be necessary to address their unique needs.
426.0	substance abuse and addiction can have a lasting impact on an individual ' s employment , finances , and relationships .	substance abuse and addiction can have a lasting impact on an individual ' s employment , finances , and relationships .	Substance abuse and addiction can have a lasting impact on an individual's employment, finances, and relationships.	Substance abuse and addiction can have a lasting impact on an individual's employment, finances, and relationships.
427.0	drug addiction should not be seen as a personal failure , but rather as a medical condition that requires professional help and support .	drug addiction should not be seen as a personal failure , but rather as a medical condition that requires professional help and support .	Drug addiction should not be seen as a personal failure, but rather as a medical condition that requires professional help and support.	Drug addiction should not be seen as a personal failure, but rather as a medical condition that requires professional help and support.
428.0	substance abuse and addiction can lead to overdose , which is a prevent ##able cause of death .	substance abuse and addiction can lead to overdose , which is a prevent ##able cause of death .	Substance abuse and addiction can lead to overdose, which is a preventable cause of death.	Substance abuse and addiction can lead to overdose, which is a preventable cause of death.
429.0	substance abuse and addiction treatment should be individual ##ized , taking into account the unique needs and circumstances of each person .	substance abuse and addiction treatment should be individual ##ized , taking into account the unique needs and circumstances of each person .	Substance abuse and addiction treatment should be individualized, taking into account the unique needs and circumstances of each person.	Substance abuse and addiction treatment should be individualized, taking into account the unique needs and circumstances of each person.
430.0	substance abuse and addiction can be prevented through addressing risk factors such as poverty , trauma , and availability of drugs .	substance abuse and addiction can be prevented through addressing risk factors such as poverty , trauma , and availability of drugs .	Substance abuse and addiction can be prevented through addressing risk factors such as poverty, trauma, and availability of drugs.	Substance abuse and addiction can be prevented through addressing risk factors such as poverty, trauma, and availability of drugs.
431.0	mental illnesses are a group of disorders that can impact a person ' s thoughts , feelings , behavior , and overall functioning .	mental illnesses are a group of disorders that can impact a person ' s thoughts , feelings , behavior , and overall functioning .	Mental illnesses are a group of disorders that can impact a person's thoughts, feelings, behavior, and overall functioning.	Mental illnesses are a group of disorders that can impact a person's thoughts, feelings, behavior, and overall functioning.
432.0	mental illnesses are common , affecting millions of people around the world , and can range in severity from mild to severe .	mental illnesses are common , affecting millions of people around the world , and can range in severity from mild to severe .	Mental illnesses are common, affecting millions of people around the world, and can range in severity from mild to severe.	Mental illnesses are common, affecting millions of people around the world, and can range in severity from mild to severe.
433.0	some of the most common mental illnesses include depression , anxiety disorders , and bipolar disorder .	some of the most common mental illnesses include depression , anxiety disorders , and bipolar disorder .	Some of the most common mental illnesses include depression, anxiety disorders, and bipolar disorder.	Some of the most common mental illnesses include depression, anxiety disorders, and bipolar disorder.
434.0	mental illnesses can be caused by a combination of genetic , environmental , and psychological factors .	mental illnesses can be caused by a combination of genetic , environmental , and psychological factors .	Mental illnesses can be caused by a combination of genetic, environmental, and psychological factors.	Mental illnesses can be caused by a combination of genetic, environmental, and psychological factors.
435.0	symptoms of mental illness can vary greatly and can include changes in mood , thoughts , behavior , and ability to function in daily life .	symptoms of mental illness can vary greatly and can include changes in mood , thoughts , behavior , and ability to function in daily life .	Symptoms of mental illness can vary greatly and can include changes in mood, thoughts, behavior, and ability to function in daily life.	Symptoms of mental illness can vary greatly and can include changes in mood, thoughts, behavior, and ability to function in daily life.
436.0	mental illnesses can have a significant impact on a person ' s quality of life , including their relationships , work , and overall well ##bei ##ng .	mental illnesses can have a significant impact on a person ' s quality of life , including their relationships , work , and overall well ##bei ##ng .	Mental illnesses can have a significant impact on a person's quality of life, including their relationships, work, and overall wellbeing.	Mental illnesses can have a significant impact on a person's quality of life, including their relationships, work, and overall wellbeing.
437.0	early recognition and treatment of mental illness can improve outcomes and reduce the severity of symptoms .	early recognition and treatment of mental illness can improve outcomes and reduce the severity of symptoms .	Early recognition and treatment of mental illness can improve outcomes and reduce the severity of symptoms.	Early recognition and treatment of mental illness can improve outcomes and reduce the severity of symptoms.
438.0	mental illnesses are treat ##able , and a variety of treatments are available , including therapy , medication , and self - care strategies .	mental illnesses are treat ##able , and a variety of treatments are available , including therapy , medication , and self - care strategies .	Mental illnesses are treatable, and a variety of treatments are available, including therapy, medication, and self-care strategies.	Mental illnesses are treatable, and a variety of treatments are available, including therapy, medication, and self-care strategies.
439.0	cognitive - behavioral therapy , dialect ##ical behavior therapy , and inter ##personal therapy are commonly used approaches in the treatment of mental illness .	cognitive - behavioral therapy , dialect ##ical behavior therapy , and inter ##personal therapy are commonly used approaches in the treatment of mental illness .	Cognitive-behavioral therapy, dialectical behavior therapy, and interpersonal therapy are commonly used approaches in the treatment of mental illness.	Cognitive-behavioral therapy, dialectical behavior therapy, and interpersonal therapy are commonly used approaches in the treatment of mental illness.
440.0	anti ##de ##press ##ant and anti ##an ##xie ##ty medications are commonly prescribed to help manage symptoms of mental illness .	anti ##de ##press ##ant and anti ##an ##xie ##ty medications are commonly prescribed to help manage symptoms of mental illness .	Antidepressant and antianxiety medications are commonly prescribed to help manage symptoms of mental illness.	Antidepressant and antianxiety medications are commonly prescribed to help manage symptoms of mental illness.
441.0	support from friends , family , and mental health professionals can be critical in the recovery process for individuals with mental illness .	support from friends , family , and mental health professionals can be critical in the recovery process for individuals with mental illness .	Support from friends, family, and mental health professionals can be critical in the recovery process for individuals with mental illness.	Support from friends, family, and mental health professionals can be critical in the recovery process for individuals with mental illness.
442.0	mental illnesses can co - occur with other health conditions , and it is important to address any underlying medical conditions in the treatment of mental illness .	mental illnesses can co - occur with other health conditions , and it is important to address any underlying medical conditions in the treatment of mental illness .	Mental illnesses can co-occur with other health conditions, and it is important to address any underlying medical conditions in the treatment of mental illness.	Mental illnesses can co-occur with other health conditions, and it is important to address any underlying medical conditions in the treatment of mental illness.
443.0	mental illnesses can affect individuals of all ages , races , and ethnic ##ities , and it is important to address di ##spar ##ities in access to care and treatment .	mental illnesses can affect individuals of all ages , races , and ethnic ##ities , and it is important to address di ##spar ##ities in access to care and treatment .	Mental illnesses can affect individuals of all ages, races, and ethnicities, and it is important to address disparities in access to care and treatment.	Mental illnesses can affect individuals of all ages, races, and ethnicities, and it is important to address disparities in access to care and treatment.
444.0	mental illnesses can have a significant impact on an individual ' s finances , employment , and overall quality of life .	mental illnesses can have a significant impact on an individual ' s finances , employment , and overall quality of life .	Mental illnesses can have a significant impact on an individual's finances, employment, and overall quality of life.	Mental illnesses can have a significant impact on an individual's finances, employment, and overall quality of life.
445.0	mental illness should be approached with compassion and understanding , and individuals should not be blamed or stigma ##tized for their conditions .	mental illness should be approached with compassion and understanding , and individuals should not be blamed or stigma ##tized for their conditions .	Mental illness should be approached with compassion and understanding, and individuals should not be blamed or stigmatized for their conditions.	Mental illness should be approached with compassion and understanding, and individuals should not be blamed or stigmatized for their conditions.
446.0	mental illnesses can have a lasting impact on an individual ' s relationships and social life , and it is important to seek help if you or someone you know is struggling .	mental illnesses can have a lasting impact on an individual ' s relationships and social life , and it is important to seek help if you or someone you know is struggling .	Mental illnesses can have a lasting impact on an individual's relationships and social life, and it is important to seek help if you or someone you know is struggling.	Mental illnesses can have a lasting impact on an individual's relationships and social life, and it is important to seek help if you or someone you know is struggling.
